,Unnamed: 0,Dutch,POS,ChatGPT_Sentence
0,800,geest,noun,"De stomme geest woont in het oude huis.
The silent ghost lives in the old house."
1,801,gingen,verb,"Ze gingen naar het park en raakten bekend met de nieuwe buren.
They went to the park and got acquainted with the new neighbors."
2,802,straat,noun,"De straat bestaat uit winkels en ik draag een zak.  
The street consists of shops and I carry a bag."
3,803,slechts,adverb,"Ik ben slechts net begonnen, maar de meeste mensen zijn al klaar.
I have only just started, but most people are already finished."
4,804,verkeerde,adjective,"Nadat we de verkeerde weg namen, moesten we snel wegwezen.
After we took the wrong road, we had to leave quickly."
5,805,slaan,verb,"De bekend bokser, geboren in Amsterdam, kan hard slaan.
The famous boxer, born in Amsterdam, can hit hard."
6,806,FBI,FBI,"Mijn liefje en ik zagen de FBI op het feest.
My sweetheart and I saw the FBI at the party."
7,807,afgelopen,adjective,"De afgelopen week scheelde het niet zoveel, zolang je het goed bekijkt.

The past week didn't differ that much, as long as you look at it closely."
8,808,hotel,noun,"Het hotel was een goede keuze voor het feest.
The hotel was a good choice for the party."
9,809,bekend,adjective,"De raad is bekend om zijn stomme beslissingen.
The council is known for its stupid decisions."
10,810,ene,one,"Het was koud, maar ik mocht ene warme jas dragen.
It was cold, but I was allowed to wear a warm coat."
11,811,ruimte,noun,"De bal heeft de ruimte geraakt bij www.  
The ball hit the space at www."
12,812,lange,adjective,"De lange bal rolde totdat hij stopte.

The long ball rolled until it stopped."
13,813,trouwens,adverb,"Ik heb trouwens nog niet betaald voor die stomme rekening.
I haven't paid for that stupid bill, by the way."
14,814,feest,noun,"De regel is dat je om tien uur moet wegwezen van het feest.
The rule is that you have to leave the party by ten o'clock."
15,815,vliegen,verb,"De vogels vliegen hoog in de lucht om hun honger te bewijzen.
The birds fly high in the sky to prove their hunger."
16,816,boot,noun,"De ene boot is rood.
The one boat is red."
17,817,meester,noun,"De meester heeft geprobeerd de situatie te begrijpen.
The teacher tried to understand the situation."
18,818,doel,noun,"Ik heb gaten in de kaart gemaakt om mijn doel te bereiken.
I made holes in the map to achieve my goal."
19,819,zolang,conjunction,"Zolang we de kaart hebben, kunnen we de ruimte verkennen.
As long as we have the map, we can explore the space."
20,820,regels,noun,"Ik heb honger, maar ik volg de regels op www.
I am hungry, but I follow the rules on www."
21,821,stomme,noun,"De verliefde jongen vond de stomme actie gevaarlijk.
The lovestruck boy found the stupid action dangerous."
22,822,begonnen,verb,"Het begon koud te worden, dus ik mocht mijn jas aandoen.
The weather started to get cold, so I was allowed to put on my coat."
23,823,zak,noun,"De lange zak is koud.  
The long bag is cold."
24,824,absoluut,adverb,"Hij woont hier absoluut totdat hij een nieuw huis vindt.
He absolutely lives here until he finds a new house."
25,825,spreek,adjective,"In Dutch, the word 'spreek' is typically used as a verb meaning 'to speak' and not as an adjective. However, I can create a simple sentence using 'spreek' as a verb along with the words 'ruimte' ("
26,826,stom,adjective,"Het stomme feest had geen macht.

The stupid party had no power."
27,827,bestaat,verb,"Ik herinner me dat de stomme grap nog steeds bestaat.
I remember that the silly joke still exists."
28,828,welk,conjunction,"Welk kind heeft de macht over de zak?

Which child has the power over the bag?"
29,829,gevaarlijk,adjective,"Goedemorgen, de afgelopen nacht was gevaarlijk.

Good morning, last night was dangerous."
30,830,jawel,interjection,"Jawel, mijn kleren werkten perfect voor het feest.  
Yes, my clothes worked perfectly for the party."
31,831,mocht,verb,"Als je gaten in de muur zag, mocht je niet vliegen.  
If you saw holes in the wall, you were not allowed to fly."
32,832,goedemorgen,interjection,"Goedemorgen, ik heb iets raars gebracht.

Good morning, I brought something strange."
33,833,wilden,verb,"Zij wilden de oude tafel verkopen, maar niemand wilde hem slaan.

They wanted to sell the old table, but no one wanted to hit it."
34,834,erger,adjective,"De lieve hond heeft erger gaten in de tuin gegraven.  
The sweet dog has dug worse holes in the garden."
35,835,vreselijk,adjective,"Nadat we de meeste dingen hadden gedaan, was het weer vreselijk.

After we had done most things, the weather was terrible."
36,836,zodra,conjunction,"Zodra de ene agent van de FBI arriveert, begint de vergadering.

As soon as one agent from the FBI arrives, the meeting begins."
37,837,geraakt,adjective,"De bal heeft de rode muur geraakt.

The ball has hit the red wall."
38,838,nadat,conjunction,"Nadat ik geboren was, had ik nooit gedacht dat ik zo ver zou komen.
After I was born, I never thought I would come this far."
39,839,vertrouw,trust,"Ik vertrouw je met mijn zak.
I trust you with my bag."
40,840,kolonel,noun,"De kolonel had zover geen keuze.  
The colonel had no choice so far."
41,841,voelde,verb,"Ik voelde dat ik je vertrouw, maar ik wil erover praten.
I felt that I trust you, but I want to talk about it."
42,842,kleren,noun,"De macht van goede kleren is absoluut.  
The power of good clothes is absolute."
