,French,POS,Translation
800,moi-même,personal pronoun,
801,coûter,verb,
802,surprise,noun,
803,poste,noun,
804,compris,adjective,
805,anniversaire,noun,
806,signe,noun,
807,vol,noun,
808,couleur,noun,
809,image,noun,
810,parier,verb,
811,est,noun,
812,arbre,noun,
813,bière,noun,
814,mme,noun,
815,poisson,noun,
816,selon,preposition,
817,a,noun,letter ''a''
818,intérêt,noun,
819,lieutenant,noun,
820,danger,noun,
821,appartenir,verb,
822,remarquer,verb,
823,animal,noun,
824,rater,verb,
825,retirer,verb,
826,bord,noun,
827,tenter,verb,
828,liberté,noun,
829,règle,noun,
830,banque,noun,
831,merveilleux,adjective,
832,fier,adjective,
833,partager,verb,
834,classe,noun,
835,dossier,noun,
836,ressentir,verb,
837,bonheur,noun,
838,défendre,verb,
839,but,noun,
840,bande,noun,
841,l,definite article,
842,fatiguer,verb,
843,radio,noun,
844,prévoir,verb,
845,celui-là,demonstrative pronoun,
846,camarade,noun,
847,douter,verb,
848,oiseau,noun,
849,vent,noun,
850,recherche,noun,
851,apprécier,verb,
852,système,noun,
853,ferme,noun,
854,capable,adjective,
855,fuir,verb,
856,ennui,noun,
857,tante,noun,
858,héros,noun,
859,dedans,adverb,
860,excellent,adjective,
861,pitié,noun,
862,appartement,noun,
863,bosser,verb,
864,respirer,verb,
865,entier,adjective,
866,récupérer,verb,
867,douleur,noun,
868,libérer,verb,
869,sentiment,noun,
870,grand-père,noun,
871,société,noun,
872,lancer,verb,
873,nez,noun,
874,joie,noun,
875,relation,noun,
876,témoin,noun,
877,acteur,noun,
878,moitié,noun,
879,incroyable,adjective,
880,bain,noun,
881,durer,verb,
882,marché,noun,
883,laver,verb,
884,dent,noun,
885,là-dedans,adverb,
886,mademoiselle,noun,
887,adresse,noun,
888,cousin,noun,
889,riche,adjective,
890,compagnie,noun,
891,sonner,verb,
892,chaussure,noun,
893,oreille,noun,
894,grand-mère,noun,
895,ancien,adjective,
896,art,noun,
897,deviner,verb,
898,inutile,adjective,
899,ravir,verb,
