,Unnamed: 0,Dutch,Sentence
0,0,geest,"De geest van de ruimte was vreemd.

The spirit of the room was strange."
1,1,gingen,Wij gingen naar de markt. - We went to the market.
2,2,straat,De straat is geplaveid met kiezels. - The street is paved with pebbles.
3,3,slechts,Slechts één persoon kwam op tijd. Only one person arrived on time.
4,4,verkeerde,De verkeerde kleur was gekozen - The wrong colour was chosen.
5,5,slaan,Ik sloeg de bal in het doel. - I hit the ball into the goal.
6,6,FBI,De FBI heeft een onderzoek ingesteld. (The FBI has initiated an investigation.)
7,7,afgelopen,De afgelopen maand was erg koud. - Last month was very cold.
8,8,hotel,Het hotel is erg mooi. - The hotel is very nice.
9,9,bekend,Deze stad is bekend om haar prachtige architectuur. - This city is known for its beautiful architecture.
10,10,ene,"""Ik heb ene grote hond."" - ""I have a big dog."""
11,11,ruimte,"De ruimte was klein, maar het was gezellig. - The space was small, but it was cozy."
12,12,lange,De lange weg naar huis was moeilijk. - The long way home was difficult.
13,13,trouwens,"""Trouwens, ik ben helemaal klaar voor vandaag."" - ""By the way, I'm all set for today."""
14,14,feest,Het feest was geweldig! - The party was great!
15,15,vliegen,De vogel vliegt hoog in de lucht. - The bird is flying high in the sky.
16,16,boot,De boot vaart op het meer. - The boat is sailing on the lake.
17,17,meester,De meester heeft de leerlingen uitgelegd hoe ze de opdracht moeten maken. - The teacher explained to the students how they should complete the task.
18,18,doel,Mijn doel is om een goede baan te krijgen. - My goal is to get a good job.
19,19,zolang,"Zolang je hard werkt, zul je succesvol zijn - As long as you work hard, you will be successful."
20,20,regels,De regels zijn duidelijk. - The rules are clear.
21,21,stomme,De stomme man zei geen woord. - The dumb man said no words.
22,22,begonnen,Ik begonnen met het lezen van het boek. - I started reading the book.
23,23,zak,De zak lag op de grond. - The bag was lying on the ground.
24,24,absoluut,"""Absoluut, ik zal het doen!"" - Absolutely, I will do it!"
25,25,spreek,Ik spreek Engels. - I speak English.
26,26,stom,De man was stom verbaasd. - The man was dumbfounded.
27,27,bestaat,Deze stad bestaat al meer dan 100 jaar. - This city has existed for more than 100 years.
28,28,welk,Welk boek lees je? - Which book are you reading?
29,29,gevaarlijk,"""Het is gevaarlijk om zonder zwemvest te zwemmen."" - It is dangerous to swim without a life jacket."
30,30,jawel,"""Jawel, ik kom eraan!"" - ""Yes, I'm coming!"""
31,31,mocht,"Mocht ik jouw hulp nodig hebben, zal ik je laten weten.

If I need your help, I will let you know."
32,32,goedemorgen,Goedemorgen! - Good morning!
33,33,wilden,"""Ze wilden een nieuwe auto kopen."" - They wanted to buy a new car."
34,34,erger,Het kan nog erger worden. - It can get worse.
35,35,vreselijk,Mijn klasgenoten vonden mijn kunstwerk vreselijk. - My classmates found my artwork terrible.
36,36,zodra,"Zodra ik vrij ben, ga ik naar het strand. - As soon as I'm free, I'm going to the beach."
37,37,geraakt,Ik ben geraakt door je verhaal. - I was touched by your story.
38,38,nadat,"Nadat ik mijn huiswerk had gemaakt, ging ik naar buiten.

After I had finished my homework, I went outside."
39,39,vertrouw,Ik vertrouw hem niet. - I don't trust him.
40,40,kolonel,De kolonel was de hoogste rang in het leger. - The colonel was the highest rank in the army.
41,41,voelde,Ik voelde me verdrietig. - I felt sad.
42,42,kleren,Ik heb geen kleren nodig.  - I don't need any clothes.
43,43,rug,De kat heeft een zachte rug. - The cat has a soft back.
44,44,naast,Mijn huis staat naast de bakker. - My house is next to the bakery.
45,45,totdat,"Totdat hij klaar was, had hij hard gewerkt. - Until he was finished, he had worked hard."
46,46,verliefd,Ik ben verliefd op jou. - I'm in love with you.
47,47,lukt,Het lukt me niet om de klus te klaren. - It's not working out for me to finish the job.
48,48,wonen,Ik wil in Amsterdam wonen. - I want to live in Amsterdam.
49,49,lieve,"Lieve vrienden, bedankt voor je steun. Dear friends, thank you for your support."
50,50,gaten,De muur had gaten waardoor het licht naar binnen kwam. - The wall had holes through which the light came in.
51,51,raar,Het is raar dat het weer zo onvoorspelbaar is. - It is strange that the weather is so unpredictable.
52,52,geprobeerd,Ik heb geprobeerd de oefening te begrijpen. - I tried to understand the exercise.
53,53,geleerd,Ik heb veel geleerd van deze ervaring. - I have learned a lot from this experience.
54,54,erover,Erover praten - Let's talk about it.
55,55,raad,De raad heeft het voorstel aangenomen. - The council has accepted the proposal.
56,56,volg,Volg me alsjeblieft. = Please follow me.
57,57,verkopen,Ik verkoop mijn auto. - I am selling my car.
58,58,geweldige,"Deze geweldige film is echt de moeite waard!
This great movie is really worth it!"
59,59,zover,Ik ben nog niet zo ver gekomen. - I haven't gotten so far yet.
60,60,red,De lucht was rood van de zonsondergang. - The sky was red from the sunset.
61,61,woont,Hij woont in Amsterdam. - He lives in Amsterdam.
62,62,Amerika,Amerika is een groot land. - America is a large country.
63,63,lul,De lul van mijn broer is zo luidruchtig. - My brother's fool is so noisy.
64,64,gedacht,Ik heb gedacht dat het een goed idee was. - I thought it was a good idea.
65,65,bewijzen,De rechter moest bewijzen dat de verdachte schuldig was. - The judge had to prove that the suspect was guilty.
66,66,prijs,De prijs van deze auto is erg hoog. - The price of this car is very high.
67,67,www,www staat voor World Wide Web - WWW stands for World Wide Web.
68,68,raken,De bal raakte de muur. - The ball hit the wall.
69,69,voorstellen,Ik stel mezelf voor - I introduce myself
70,70,vorige,De vorige dag was het zonnig. - The previous day was sunny.
71,71,regel,De regel is dat iedereen op tijd moet komen. - The rule is that everyone must arrive on time.
72,72,schrijven,Ik schrijf elke dag in mijn dagboek. - I write in my diary every day.
73,73,rot,De appel is rot. - The apple is rotten.
74,74,gebouw,Het gebouw is heel groot. - The building is very big.
75,75,trekken,Ik trek me terug uit de situatie. - I am withdrawing from the situation.
76,76,herinneren,Ik herinner me dat ik het al eerder heb gezien. - I remember seeing it before.
77,77,dansen,Ik hou van dansen. - I love to dance.
78,78,gebracht,Hij heeft me gebracht naar mijn huis. - He brought me home.
