,Unnamed: 0,Spanish,show,lemma,ChatGPT_Sentence
0,900,basura,basura,basura,"La vista desde aquí es hermosa, pero hay mucha basura.

The view from here is beautiful, but there is a lot of trash."
1,901,situación,situación,situación,"Necesitamos conseguir una solución para mejorar la situación y dar voz a todos.

We need to find a solution to improve the situation and give a voice to everyone."
2,902,mejores,*mejores* (mejor),mejor,"Mis mejores amigos me esperaron en la media hora de mi regreso.
My best friends waited for me at the half-hour of my return."
3,903,vienen,*vienen* (venir),venir,"Los niños vienen al parque, y es un honor verlos jugar de manera tan graciosa.
The children come to the park, and it is an honor to see them play so amusingly."
4,904,encanta,*encanta* (encantar),encantar,"A mi hermano le encanta correr y tendrá una carrera mañana.
My brother loves to run and he will have a race tomorrow."
5,905,marido,marido,marido,"Mi marido guarda silencio mientras yo hablo.

My husband stays silent while I speak."
6,906,personal,personal,personal,"El personal viene a limpiar el culo del bebé.
The staff comes to clean the baby's bottom."
7,907,maestro,maestro,maestro,"El maestro tiene su propio jardín bonito.
The teacher has his own beautiful garden."
8,908,hambre,hambre,hambre,"Espero que no tengas hambre a la vista de la comida.

I hope you are not hungry at the sight of the food."
9,909,ataque,ataque,ataque,"El perro me atacó, pero estoy salvo y solo tengo un rasguño en el pelo.
The dog attacked me, but I am safe and only have a scratch on my hair."
10,910,ataque,*ataque* (atacar),atacar,"Siéntate en silencio para evitar un ataque.  
Sit in silence to avoid an attack."
11,911,culo,culo,culo,"Tenías que estar en silencio, pero te caíste y te golpeaste el culo.

You had to be quiet, but you fell and hit your butt."
12,912,dale,*dale* (dar),dar,"Dale el teléfono a Juan mientras hablo del peligro.
Give the phone to Juan while I talk about the danger."
13,913,pie,pie,pie,"Ellos hicieron una caminata y ahora me duele el pie porque la montaña es muy baja.
They went for a hike and now my foot hurts because the mountain is very low."
14,914,conseguir,conseguir,conseguir,"El maestro quiere conseguir éxito en sus negocios.
The teacher wants to achieve success in his business."
